flight ID,Arrival,Departure,success
G86,07:30,14:00,success
T01,07:45,08:30,fail
T04,07:45,08:30,fail
C23,08:00,17:00,success
A21,08:00,13:00,success
C26,08:00,17:00,success
C235,08:00,22:00,success
A12,09:00,13:00,fail
G56,09:30,14:00,fail
G88,09:30,14:00,fail
B15,10:00,13:00,fail
B05,10:00,14:00,fail
B55,11:00,13:00,fail
G88,11:30,14:05,fail
A14,12:00,19:00,fail
C128,12:00,16:00,fail
B52,12:01,16:00,fail
C1223,12:55,16:00,fail
B12,13:01,16:00,fail
C124,14:00,16:00,fail
B46,14:01,16:00,fail
B35,16:01,20:00,fail
B39,16:01,20:00,fail
B39,16:01,20:00,fail
A19,17:00,19:00,fail
B65,17:01,20:00,fail
